id,name,article_length,versions,editors,inbound_links
133,Antony Jay,2346,109,82,121
134,Arnold Wesker,8711,291,147,194
135,Brian McGrath,1117,47,36,20
136,Charles Soutar,555,12,5,9
137,Christopher Wallace (British Army officer),4340,142,37,28
138,Christopher Zeeman,6880,225,119,113
139,David Goodall (diplomat),1501,16,12,15
140,David J. C. MacKay,4236,222,137,162
141,Denys Henderson,4244,36,27,26
142,Denys Wilkinson,2153,54,37,64
143,Derek Oulton,1691,74,45,17
144,Edward Ashmore,5904,261,74,117
145,Frederick Smith (barrister),1285,67,27,13
146,Gavyn Farr Arthur,2118,43,20,11
147,Geoffrey Hill,8323,337,180,187
148,George Martin,24468,1709,787,1756
149,Graham Latimer,2763,31,17,22
150,Harry Kroto,13750,672,344,581
151,Iain Glidewell,851,57,32,30
152,Ian Turbott,1538,27,15,16
153,Jack Baer (art dealer),2734,52,15,16
154,Jeremy Morse,1880,77,48,40
155,"Sir John Leslie, 4th Baronet",2342,116,67,16
156,John Pidgeon,2700,47,28,16
157,John Yocklunn,898,16,8,10
158,Ken Adam,6663,419,214,324
159,Kenneth Corfield,1126,15,7,8
160,Len Peach,1355,39,22,5
161,Malcolm Macnaughton,532,9,4,3
162,Nicholas Fenn,799,25,18,22
163,Peter Kenilorea,1878,84,58,73
164,Peter Maxwell Davies,12391,680,352,848
165,Peter Moores (businessman),2598,52,31,38
166,Peter Shaffer,6227,346,217,496
167,Peter Whiteley (Royal Marines officer),2016,72,32,61
168,Reginald Palmer,712,36,29,27
169,Sir Richard George,145,9,4,4
170,Richard Parsons (diplomat),782,16,12,19
171,Robert Finch (Lord Mayor),1509,33,24,13
172,Robin Chichester-Clark,3908,87,53,46
173,Ronald Arculus,1655,6,5,9
174,Ronald Scott (sports administrator),750,13,6,8
175,Timothy Bevan,1500,28,12,6
176,Tom Kibble,5074,244,132,223
177,Tony Durant,867,63,31,42
178,Trevor Jones (politician),1867,84,50,45
179,William O'Brien (Royal Navy officer),1187,63,20,21
180,Slobodan Lang,3362,80,38,15
181,Slobodan Novak,2598,60,22,79
182,Slobodan Santrač,2363,124,80,301
183,Snaffu Rigor,472,39,29,28
184,Sofía Gandarias,3326,18,14,4
185,Sohail Qaiser,417,14,9,16
186,Sohrab Rahimi,388,24,16,24
187,Soita Shitanda,754,29,21,17
188,Sol Polansky,632,10,6,7
189,Solange Fasquelle,1057,15,7,8
190,Solly Pandor,1129,4,2,4
191,Solomon Blatt Jr.,2615,67,45,40
192,Solomon Feferman,1346,115,80,159
193,Solomon Marcus,3216,125,65,41
194,Somawansa Amarasinghe,2687,49,26,25
195,Song Soo-kwon,877,13,9,8
196,Song Wencong,1422,32,26,46
197,Sonia Borg,479,34,15,16
198,Sonia Rykiel,5549,268,151,266
199,Sonny James,11811,370,149,491
200,Sophia Hawthorne (actress),439,10,6,13
201,Sophie Dessus,231,20,16,16
202,Soran Singh,931,38,22,9
203,Sossen Krohg,956,29,17,20
204,Spec Richardson,2623,37,27,96
205,Srđan Dizdarević,4837,25,11,6
206,Sreten Mirković,486,37,12,11
207,Srinivas Aravamudan,5009,68,25,22
208,Stacey Castor,19127,365,109,41
209,Stan Harper,2492,155,19,9
210,Stanley Burke,1039,54,33,26
211,Stanley Gault,1694,47,32,48
212,Stanley Mandelstam,2477,91,67,109
213,Stanley Mann,815,48,39,50
214,Stanley Sheinbaum,4122,75,24,19
215,Stanley Siegel (talk show host),555,9,8,5
216,Stasys Petronaitis,582,15,9,4
217,Stefan Henze,1052,81,46,98
218,Sten Lundin,1704,37,24,48
219,Stéphane Dumas (astrophysicist),1810,15,8,4
220,Stephanie Booth,2625,202,65,21
221,Stephanie Rader,1905,37,16,10
222,Stephen Clarkson,2803,116,68,31
223,Stephen Gasiorowicz,3295,38,11,12
224,Stephen H. Webb,9222,252,121,47
225,Stephen Keshi,5341,401,224,318
226,Stephen Levine (author),3840,98,41,20
227,Stephen W. Bosworth,2605,124,77,86
228,Steve Arlin,3059,108,53,222
229,Steve Ferrughelli,1252,29,20,106
230,Steve French (singer),796,95,59,14
231,Steve Harris (basketball),670,60,33,77
232,Steve Julian,1011,28,22,9
233,Steve Korcheck,1058,28,21,27
234,Steve Kraly,4136,78,28,26
235,Steve LaTourette,3482,376,224,211
236,Steve Nagy,718,50,27,26
237,Steve Owens (politician),1651,70,33,20
238,Steve Pisanos,7877,118,51,24
239,Steve Pivovar,1285,23,4,5
240,Steve Quinn (rugby league),1127,20,10,12
241,Steve Smith (cyclist),565,43,25,17
242,Steve Tupper,114,10,9,3
243,Steve Young (musician),2380,139,88,97
244,Steven Hancock,623,25,16,9
245,Steven Hill,11116,538,295,169
246,Steven Pirika Kama,1254,5,4,2
247,Steven Rumbelow,1000,70,33,22
248,Steven Sample,5078,217,98,122
249,Steven Stucky,3456,365,103,188
250,Stuart Beck,3041,79,51,27
251,Stuart Cowden,596,25,11,11
252,Stuart Nisbet,803,55,31,26
253,Sture Eskilsson,1280,22,17,6
254,Suat Mamat,524,44,28,91
255,Subhash Pal,246,10,5,1
256,Subrata Banerjee,156,10,3,12
257,Subrata Bose,397,65,43,79
258,Subrata Maitra,1708,45,10,1
259,Sudhindra Thirtha,949,200,45,21
260,Sudhir Tailang,750,76,48,18
261,Sue Gibson (cinematographer),2891,62,17,18
262,Sulabha Deshpande,4177,176,67,83
263,Sulo Aittoniemi,113,4,4,9
264,Sunday Adewusi,258,17,12,9
265,Sunil Bardewa,733,13,8,3
266,Sunil Gudge,162,8,5,6
267,Surangani Ellawala,383,28,12,113
268,Suranimala Rajapaksha,13127,141,30,156
269,Susan Baer,1196,35,6,3
270,Susan Renouf,1472,97,51,25
271,Susan Tolchin,518,26,9,12
272,Susana Duijm,916,134,79,84
273,Sushil Koirala,3640,390,190,142
274,Suzanne Corkin,5611,93,36,11
275,Svein Gunnar Morgenlien,1640,10,7,6
276,Sveinung Valle,541,2,2,4
277,Sverre Kjelsberg,513,40,32,180
278,Svetozar Koljević,352,21,13,10
279,Swasti Mitter,884,8,5,3
280,Sydney Onayemi,1612,77,35,9
281,Sydney Schanberg,4228,225,138,177
282,Syed Shamsul Haque,1169,129,69,75
283,Sylvan Barnet,1060,14,9,21
284,Sylvia Anderson,5860,445,154,204
285,Sylvia Gore,2782,74,33,25
286,Sylvia Kauders,2581,38,17,15
287,Sylvia McLaughlin,903,28,22,7
288,Sylvia Peters,3845,143,52,27
289,Sylvie Roy,1730,119,57,31
290,Szabolcs Baranyi,353,27,19,51
291,T. A. Razzaq,731,39,26,13
292,T. Marshall Hahn,4421,77,42,35
293,T. N. Gopakumar,2069,92,43,21
294,T. S. John,111,58,35,13
295,T. S. Sinnathuray,7672,68,32,103
296,Tạ Chí Đại Trường,477,12,10,7
297,Tadeusz Gocłowski,416,17,8,7
298,Taha Jabir Alalwani,4791,72,56,25
299,Tahsin Yücel,458,2,2,7
300,Takeo Uesugi,1138,70,41,18
301,Tamara Grigsby,1394,75,38,27
302,Tamás Somló,270,12,10,21
303,Tamerlan Aguzarov,221,25,13,13
304,Tamim Chowdhury,2638,71,30,7
305,Tancrède Melet,922,17,11,4
306,Tanju Gürsu,443,21,7,85
307,Tao Siju,1504,35,24,26
308,Tapio Mäkelä,292,43,28,163
309,Tara Singh (artist),297,9,3,1
310,Tarık Akan,3752,116,64,111
311,Tavin Pumarejo,3146,81,57,17
312,Tayeb Saddiki,1154,29,20,11
313,Taylor Terrell,231,34,11,8
314,Taz Anderson,1002,56,37,82
315,Ted Benoit,640,49,36,50
316,Ted Dumitru,5357,126,74,267
317,Ted McCaskill,854,22,14,21
318,Ted Stanley,1986,62,14,16
319,Ted Szilva,1573,37,19,8
320,Temple Painter,1952,75,20,9
321,Tenor Fly,857,30,19,14
322,Teodoro González de León,2095,41,26,39
323,Teofil Codreanu,262,8,8,61
324,Teófilo Rodríguez,1306,6,4,3
325,Tera Wray,2386,268,127,50
326,Terence Bayler,1618,130,97,53
327,Terence Brady (writer),839,18,7,15
328,Terence Cook,591,42,18,20
329,Terry Brain,905,35,23,85
330,Terry Kohler,4527,78,43,39
331,Terry Plumeri,2326,302,60,64
332,Terry Redlin,1453,66,47,20
333,Tet Garcia,7193,66,43,27
334,Thadeo Ouano,2311,87,44,17
335,Thanat Khoman,3637,68,35,62
336,Thanh Tùng,1339,30,18,20
337,The Wolfman (wrestler),1501,34,22,18
338,Thea Knutzen,460,22,17,11
339,Theo Dilissen,1533,30,18,5
340,Theodor Cazaban,514,34,27,19
341,Theodor Danetti,370,13,5,15
342,Theodore Karras,691,1,1,67
343,Theodore van Houten,158,7,2,4
344,Theodore Wilbur Anderson,1685,64,46,53
345,Theresa Poh Lin Chan,999,34,28,7
346,Theresa Saldana,3916,230,147,63
347,Thinle Lhondup,627,47,23,6
348,"Thomas Ashley Graves, Jr.",416,25,17,35
349,Thomas G. Doran,3039,90,51,45
350,Thomas G. Morris,991,36,25,85
351,Thomas Johnstone McWiggan,3081,43,11,7
352,Thomas Kwaku Mensah,284,3,2,5
353,Thomas Luckmann,1941,100,75,125
354,Thomas N. Hibbard,1675,27,12,10
355,Thomas P. G. Cholmondeley,9348,308,157,32
356,Thomas Perkins (businessman),7074,319,205,43
357,Thomas R. McCarthy,677,42,25,14
358,Thomas Rea,1032,14,3,3
359,Thomas Skidmore,907,46,31,48
360,Thomas Steinbeck,4668,275,101,34
361,Thomas Sutherland (academic),2228,70,54,17
362,Thomas Tigue,1881,86,43,22
363,Thomas W. Libous,7134,244,108,48
364,Thomas Zeng Jing-mu,354,12,8,5
365,Thomas Zhang Huai-xin,253,10,4,3
366,Thor Furulund,280,2,2,7
367,Thorbjörn Fälldin,4710,196,123,157
368,Thornton Dial,10016,160,65,42
369,Thunder (luchador),3642,100,37,30
370,Thurston Twigg-Smith,3676,107,57,32
371,Tias Eckhoff,591,14,10,10
372,Tibor Ordina,1569,34,26,23
373,Tibor R. Machan,5764,283,141,338
374,Tiga Bayles,777,5,3,6
375,Tim Bacon,1981,11,4,6
376,Tim Francis,308,11,8,20
377,Timothée Modibo-Nzockena,261,5,4,5
378,Timothy Pesci,1683,30,15,19
379,Tita Kovač Artemis,742,25,12,10
380,Tobias de Boer,1815,8,4,5
381,Tofig Ismayilov,29,2,1,5
382,Tom Aidala,530,12,3,2
383,Tom Allin,485,27,16,11
384,Tom Boulton,139,11,4,5
385,Tom Butters,1476,30,23,22
386,Tom Clegg (director),159,45,30,61
387,Tom Coughlin (Walmart executive),4365,99,72,24
388,Tom DeLeone,1419,58,40,80
389,Tom Ganley,10483,184,54,14
390,Tom Hancock,845,57,31,18
391,Tom Leppard,867,112,81,22
392,Tom Lewis (Australian politician),4051,122,61,163
393,Tom Lysiak,2373,151,74,78
394,Tom M. Apostol,1554,152,102,145
395,Tom Marr,3658,126,61,30
396,Tom McCready,634,19,14,7
397,Tom Mintier,756,56,31,8
398,Tom Muecke,1731,47,16,215
399,Tom Mullica,2708,66,41,35
400,Tom Peterson,12255,195,56,103
401,Tom Pugh,4167,64,35,24
402,Tom Searle,23196,6,4,11
403,Tom Whedon,1467,98,65,106
404,Tom Wilson (American football),1643,59,29,82
405,Tomás de Mattos,316,60,35,10
406,Tomaž Pandur,746,31,19,111
407,Tome Serafimovski,2673,41,18,13
408,Tommaso Labranca,1214,8,3,8
409,Tommy Brown (singer),2253,76,27,22
410,Tommy Bryceland,950,41,28,184
411,Tommy George,2105,46,22,12
412,Tommy Kelly,3314,255,141,41
413,Tommy Kono,3162,157,84,138
414,Tommy Mulgrew,2102,59,32,24
415,Tommy O'Hara,1675,92,35,28
416,Tommy Sale,3156,54,21,43
417,Tomohiko Kira,486,35,25,21
418,Tomohiro Matsu,1003,9,5,12
419,Toms (cartoonist),2540,118,74,38
420,Toni Grant,2988,63,45,24
421,Tonita Castro,929,17,5,16
422,Tony Ayers,1527,37,12,22
423,Tony Barrow,6945,150,66,5328
424,Tony Blaz,696,16,3,7
425,Tony Burton,3995,379,151,72
426,"Tony Byrne (footballer, born 1946)",2612,45,25,14
427,Tony Chater,1955,45,23,65
428,Tony Conrad,9582,260,132,145
429,Tony Cozier,4866,208,80,56
430,Tony Dyson,1181,56,20,10
431,Tony Feher,3072,24,11,6
432,Tony Kriletich,1343,15,7,55
433,Tony Lane,631,10,8,15
434,Tony Munro,1915,11,5,10
435,Tony Pasquesi,391,18,17,11
436,Tony Phillips,3990,152,94,139
437,Tony Warren,3794,213,131,103
438,Tony Whittaker,1939,5,3,11
439,Toots Thielemans,11636,557,294,466
440,Tor Brustad,719,3,2,5
441,Tor Lian,470,4,3,5
442,Tōru Ōhira,1522,248,107,86
443,Toshio Mashima,1055,21,17,5
444,Toshiro Konishi,1871,15,7,4
445,Tosun Terzioğlu,834,49,40,23
446,Tracy Scott,1086,14,7,5
447,Trần Lập,1140,55,37,14
448,Trần Phước Thọ,378,26,10,4
449,Tray Walker,1930,202,105,37
450,Trayan Dyankov,1096,203,50,39
451,Trent Baker,1187,26,20,11
452,Trevor Baker,1056,79,30,20
453,Trevor J. Phillips,3431,17,7,9
454,Trevor Steedman,1038,5,3,15
455,Trifon Ivanov,2328,257,129,144
456,Trisco Pearson,4308,1,1,2
457,Troy Mader,2005,62,19,10
458,Troy Shondell,4512,96,49,34
459,Trude Dothan,1238,64,29,32
460,Trudi Roth,2395,25,9,15
461,Tsering Chungtak,2888,52,34,16
462,Tsuyoshi Makino,846,42,33,14
463,Tunga (artist),612,4,3,11
464,Tunku Alif Hussein Saifuddin Al-Amin,659,25,19,9
465,Tupay Loong,6806,47,19,27
466,Turgay Şeren,1014,137,73,145
467,Turk Lown,1935,53,31,49
468,Tutty Alawiyah,1611,7,5,6
469,U Pandita,2113,136,71,31
470,Uche Okeke,6057,77,41,35
471,Ulf Grenander,1547,75,39,49
472,Ulf Söderblom,1678,18,8,26
473,Ulrich Hahnen,345,5,4,4
474,Uma Shankar Mishra,4583,46,20,5
475,Umaru Shinkafi,1715,20,12,26
476,Umberto Raho,512,36,14,61
477,Unto Valpas,200,19,14,12
478,Uri Coronel,1453,26,17,33
479,Uriah Asante,101,7,4,7
480,Ursula Franklin,33505,557,186,152
481,Ursula Mamlok,3412,80,55,50
482,Utako Okamoto,4604,62,15,21
483,Uwe Friedrichsen,97,37,24,29
484,V. D. Rajappan,1065,60,37,44
485,V. Rama Rao,1822,60,48,19
486,V. S. Mani,2538,91,57,16
487,V.F. Perkins,958,1,1,7
488,Väinö Huhtala,421,49,34,97
489,Väinö Koskela,3227,17,14,24
490,Val Sears,1683,31,18,8
491,Valentin Petry,125,12,6,74
492,Valentino Zeichen,1084,77,43,12
493,Valeri Alikov,485,12,5,9
494,Valérie Guignabodet,184,8,4,28
495,Valerie Lush,539,51,18,18
496,Valerio Zanone,1152,27,14,82
497,Valeriu Cotea,452,7,5,11
498,Valeriy Abramov,219,28,23,28
499,Valeriy Zuyev,364,40,31,21
500,Valery Postnikov,541,13,6,5
501,Vander Lee,521,8,7,5
502,Vanity (singer),5329,1018,445,177
503,Vasco Nunes,738,102,50,15
504,Vasile Duță,199,19,9,8
505,Vasily Bochkaryov,2385,50,33,17
506,Vasily Zvyagintsev,1319,54,28,9
507,Vasyl Slipak,1687,38,23,7
508,Vaughn Harper,1632,102,14,21
509,Veena Sahasrabuddhe,1488,69,33,25
510,Veenu Paliwal,1415,78,37,8
511,Velda González,4221,58,27,28
512,Velimir Sombolac,2734,63,30,65
513,Věra Čáslavská,10979,342,203,273
514,Vera Henriksen,2585,51,36,49
515,Verena Huber-Dyson,3036,72,28,18
516,Vertamae Smart-Grosvenor,10004,126,55,33
517,Vi Subversa,1284,115,59,21
518,Vic Peters,2899,108,27,63
519,Vic Schwenk,280,24,8,32
520,Vicente Camacho,2770,4,3,4
521,Vicente Troudart,167,3,3,3
522,Víctor Barrio,865,49,31,7
523,Victor Goldbloom,2568,88,52,42
524,Víctor Mora (comics),312,53,33,22
525,Victor Munden,3676,26,9,12
526,Victor P. Whittaker,3517,71,27,17
527,Victor Reux,737,5,4,3
528,Victor Scheinman,2838,78,34,19
529,Victor Stănculescu,842,36,27,100
530,Victoria Wood,17022,1066,541,423
531,Victorico Chaves,2246,22,7,7
532,Vid Pečjak,621,32,26,26
533,Vietnam Veedu Sundaram,3485,60,37,51
534,Viggo Rivad,3875,36,16,25
535,Vijaya Nandasiri,4574,221,102,23
536,Viktor Gavrikov,1183,56,32,35
537,Viktor Korchnoi,25249,718,341,405
538,Viktor Kryzhanivskyi,671,36,19,12
539,Vilmos Zsigmond,3923,200,142,295
540,Vince Boryla,1424,127,77,241
541,Vincent Darius,3746,59,28,10
542,Vincent Zhu Wei-Fang,245,7,4,5
543,Vincenzo Franco,480,25,19,5
544,Vinjamuri Seetha Devi,477,25,11,7
545,Violette Verdy,10189,160,74,67
546,Virgil Jester,448,31,19,13
547,Virgilio Elizondo,5043,72,36,25
548,Vittorio Merloni,2061,56,40,16
549,Vivean Gray,3301,361,154,74
550,Vjatšeslav Kobrin,2956,13,5,12
551,Vladica Kovačević,755,71,38,182
552,Vladimir Braginsky,3149,31,14,10
553,Vladimir Dolgopolov,1194,32,18,8
554,Vladimir Kagan,3725,85,53,30
555,Vladimir Kuzmichyov,362,115,38,15
556,Vladimir Nemukhin,4356,48,27,14
557,Vladimir Pribylovsky,1627,119,51,300
558,Vladimir Troyepolsky,537,6,6,1
559,Vladimir Yulygin,156,23,16,90
560,Vladimir Yumin,390,31,23,45
561,Vladimir Yurin,217,24,17,29
562,Vladimiras Beriozovas,188,13,12,138
563,Vlasta Dalibor,2732,1,1,4
564,Volodymyr Patyk,1341,73,27,7
565,W. Carter Merbreier,1946,35,18,12
566,W. F. H. Nicolaisen,9094,57,36,17
567,W. P. Kinsella,10128,281,168,117
568,W. Ward Reynoldson,669,29,10,9
569,Walid Juffali,5378,127,28,22
570,Wally Bragg,1489,24,15,11
571,Wally Crouter,2174,70,39,10
572,Walt Williams (baseball),7624,127,68,54
573,Walter Bush,1155,51,41,39
574,Walter C. Young,1113,63,37,15
575,Walter Curley,849,46,34,134
576,Walter Dürst,162,23,16,17
577,Walter Jackson Freeman III,1786,94,60,38
578,Walter Kohn,4941,322,214,724
579,Walter McGowan,3632,76,56,29
580,Walter Scheel,3773,390,247,332
581,Walther Leisler Kiep,11423,100,25,39
582,Wan Mohammad Khair-il Anuar Wan Ahmad,2829,93,41,18
583,Wanaro N'Godrella,662,11,7,39
584,Wang Jui,242,15,9,31
585,Wang Shizhen (physician),1726,13,5,145
586,Wang Sichao,1667,86,34,14
587,Wang Tuoh,3093,83,39,41
588,Wang You-theng,5784,69,36,11
589,"Waqar Ahmed (cricketer, born 1947)",1182,7,5,4
590,Ward Crutchfield,1806,69,47,14
591,Ward Wettlaufer,491,99,20,18
592,Warren E. Barry,517,15,5,8
593,Warren Hinckle,2346,89,44,39
594,Warren Manzi,1164,20,5,6
595,Wasil Ahmad,121,15,8,5
596,Waymond C. Huggins,440,9,7,8
597,Wayne Crawford,948,70,32,39
598,Wayne Dowd,435,6,3,5
599,Wayne England,907,38,29,74
600,Wayne Jackson (musician),1252,50,34,131
601,Wayne Kingery,314,19,7,7
602,Wayne Southwick,2174,73,32,11
603,Wei Chueh,1588,89,48,25
604,Wenche Lowzow,461,40,30,19
605,Wendell Anderson,3025,217,132,189
606,Wenn V. Deramas,1519,334,178,118
607,Werner Baer,3445,83,57,17
608,Werner Friese,367,39,26,38
609,Werner Meng,2002,27,18,2
610,Whai Ngata,731,16,9,8
611,"Wheelock Whitney, Jr.",2058,86,57,49
612,Wiebe Nijenhuis,431,18,3,3
613,Wiesław Rudkowski,152,33,25,26
614,Wilfred D. Webb,1306,5,4,3
615,Wilfried Straub,1808,14,5,5
616,Wilhelm Mohr,720,10,5,17
617,Will Smith (defensive end),5552,571,314,333
618,William B. Bader,2525,55,26,24
619,William Bell (author),1833,155,73,76
620,William C. Waterhouse,1223,28,17,35
621,William Campbell (business executive),2201,168,119,371
622,William Craig (philosopher),627,61,41,29
623,William Craig Rice,3380,148,46,40
624,William Donald Stiehl,1303,26,13,18
625,William Dyke,2313,98,56,42
626,William E. Martin,2221,82,53,57
627,William F. Hickey Jr.,602,4,1,5
628,William G. Bowdler,2090,31,16,25
629,William Gaines (professor),2442,59,40,17
630,William Gaskill,1328,37,28,60
631,William H. Jarvis,886,40,29,54
632,William H. Lacy,661,56,34,17
633,William H. McNeill (historian),2230,177,110,226
634,William H. O'Dell,1009,36,19,58
635,William H. Plackett,1969,66,42,15
636,William Hamilton (cartoonist),3512,99,48,24
637,William Harrison Bell,2423,8,2,6
638,William Hawkins (songwriter and poet),5855,106,22,37
639,William Haze,274,32,25,17
640,William J. Livsey,4269,75,40,24
641,William J. McCormack,2065,125,58,43
642,William L. Armstrong,1572,184,116,179
643,William Landles,951,27,11,5
644,William Lucas (actor),957,104,52,71
645,William M. Gray,7503,530,196,194
646,William McAllister-Johnson,797,26,14,3
647,William Morgan (architect),1384,38,18,9
648,William Needles,4788,199,28,16
649,William Norris III,1665,25,3,10
650,William O'Brien (Royal Navy officer),1187,63,20,21
651,William Ole Ntimama,1268,58,36,16
652,William Russell Houck,670,23,12,56
653,William San Bento,403,15,9,86
654,William Schaap,579,17,5,5
655,William Smith (loyalist),6727,103,28,114
656,William Stowe (rower),742,27,17,58
657,"William W. ""Bill"" Carmody",1528,15,10,4
658,William Wright (author),2264,56,38,18
659,William Y. Smith,6372,45,24,19
660,Willie Logie,261,7,4,3
661,Willie Richardson,678,45,30,41
662,Willis Pyle,3310,8,7,8
663,Willy Andresen,431,2,2,10
664,Wilson Ndolo Ayah,1160,20,18,29
665,Wim Bleijenberg,3253,18,13,16
666,Wim Mook,784,3,2,9
667,Winfried Menrad,183,6,2,7
668,Winifred Green,1763,22,11,11
669,Winston Blake,2521,4,1,8
670,Winston Hill,3275,148,85,104
671,Wiswa Warnapala,182,34,24,255
672,Witold Mańczak,157,40,27,12
673,Witold Zagórski,752,31,19,17
674,Wojciech Zagórski,644,12,8,8
675,Wolfgang Patzke,157,32,23,17
676,Wolfgang Rademann,572,20,10,10
677,Wolfhart Zimmermann,1747,55,27,22
678,Wolfram Siebeck,3436,7,3,8
679,Wong Lam,3709,23,5,4
680,Wu Jianmin,1346,48,16,13
681,Wynona Mulcaster,4479,24,13,19
682,Xavier de Planhol,962,25,18,25
