id,name,article_length,versions,editors,inbound_links
530,Barry Jones (bishop),769,45,17,75
531,Barry Myers,25,14,10,4
532,Bas van Erp,651,22,12,15
533,Basia Frydman,467,38,21,11
534,Basil Blackshaw,2057,58,39,29
535,Bata Živojinović,3311,274,135,167
536,Bayard Johnson,1870,3,3,7
537,Bea Maddock,2499,50,29,15
538,Beatrice de Cardi,4558,143,53,47
539,Beau St. Clair,3216,11,7,16
540,Béla Biszku,9102,111,43,88
541,Béla Kuharszki,280,22,20,41
542,Belinda Nash,2266,52,22,17
543,Ben Bagdikian,3782,190,105,65
544,Ben Idrissa Dermé,563,21,15,7
545,Ben Koufie,1049,31,10,57
546,Ben Patterson,2612,76,45,73
547,Ben Press,3494,60,15,18
548,Benet Rosell,2347,32,18,6
549,Benito Cocchi,412,5,3,4
550,Benjamin de Roo,273,11,7,11
551,Benjamin F. Shobe,6403,16,5,5
552,Benjamin Manglona,3209,61,30,29
553,Bennie Purcell,1313,74,37,20
554,Benoît Lacroix,8800,55,10,10
555,Benoît Violier,1541,38,17,13
556,Benoîte Groult,2107,71,46,30
557,Ben-Zion Gold,462,45,27,12
558,Berend Jan Udink,1222,41,23,89
559,Berge Furre,3627,61,33,125
560,Bergljot Hobæk Haff,862,38,21,209
561,Berit Mørdre,798,56,39,244
562,Bern Herbolsheimer,3490,64,25,17
563,Bernard B. Wolfe,703,18,14,6
564,Bernard Bergonzi,401,51,38,36
565,Bernard Cookson,830,17,6,5
566,Bernard Dufour,2366,38,30,18
567,Bernard Lamarre,1139,24,16,10
568,Bernard Neal,703,23,5,8
569,Bernard Piras,274,24,15,9
570,Bernard Quennehen,252,20,16,9
571,Bernard Shrimsley,3585,90,32,57
572,Bernardo Provenzano,20082,532,284,149
573,Bernardo Ribeiro,4482,178,76,33
574,Bernd Hoss,167,15,12,109
575,Bernhard Hassenstein,1217,48,25,77
576,Bernie Worrell,8468,419,224,780
577,Berrick Saul,632,15,11,10
578,Bert Llewellyn,4351,53,25,43
579,Berta Cáceres,14266,294,90,59
580,Bertil Roos,1018,75,47,34
581,Beryl Crockford,1522,32,11,19
582,Betsy Bloomingdale,3485,148,70,34
583,Betty Francis,1866,18,15,14
584,Betty Guy,4687,44,21,4
585,Betty Jane Watson,3100,62,21,21
586,Betty Rosenquest Pratt,1159,57,35,38
587,Betty Sabo,2125,43,18,2
588,Bettye Caldwell,2073,8,6,25
589,Bharat Shah (cricketer),354,9,7,13
590,Bhavarlal Jain,5315,213,78,28
591,Big Kap,958,52,15,26
592,Bill Alsup,3746,86,57,46
593,Bill Backer,2360,26,8,14
594,Bill Barrett,2390,90,67,152
595,Bill Berkson,5938,192,72,51
596,Bill Birchfield,7442,95,15,19
597,Bill Cardille,2646,133,81,26
598,Bill Cooper (sailor),464,21,4,6
599,Bill Cotty (American politician),647,7,3,3
600,Bill Cunningham (American photographer),11182,339,115,51
601,Bill Etra,2465,58,39,16
602,"Bill Foster (basketball, born 1929)",9622,123,52,218
603,Bill Gadsby,1218,120,75,239
604,Bill Glassford,1517,85,36,84
605,Bill Groom,1295,5,4,3
606,Bill Guilfoile,2705,20,7,14
607,Bill Ham,2783,148,85,143
608,Bill Henderson (performer),1307,158,54,73
609,Bill Holdsworth,614,23,20,13
610,Bill Johnson (skier),6298,217,112,98
611,Bill Lenkaitis,716,49,33,52
612,Bill MacDermott,1828,43,22,154
613,Bill MacIlwraith,1557,38,11,18
614,Bill Michael,680,32,24,47
615,Bill Mollison,7677,355,139,127
616,Bill Nojay,2511,77,38,17
617,Bill Nunn,1925,269,177,109
618,Bill Plager,860,67,37,35
619,Bill Reinhard,478,32,20,21
620,Bill Richmond (writer),2462,44,30,105
621,Bill Roberts (basketball),431,38,24,14
622,Bill Robinson (American football),374,14,11,62
623,Bill Rosendahl,5171,120,64,44
624,Bill Sevesi,2763,68,41,28
625,Bill Snowden (rugby league),767,11,6,14
626,Bill Wade,1850,129,89,421
627,Bill Whitby,213,15,13,12
628,Bill Williams (Australian footballer),520,48,25,122
629,Billie Nipper,4652,81,10,29
630,Billy Faier,749,45,25,24
631,Billy Marshall Stoneking,4080,210,64,27
632,Billy Name,6406,261,113,82
633,Billy Paul,41156,346,160,223
634,Billy Quinn (hurler),2252,12,10,14
635,Billy Redmayne,882,37,20,8
636,Billy Ritchie,500,64,36,127
637,Binyamin Ben-Eliezer,4978,242,130,241
638,Bishnodat Persaud,5627,150,27,12
639,Bjarne Saltnes,1135,3,2,3
640,Black (singer),5585,372,210,126
641,Blackie Gejeian,3953,21,12,40
642,Blackie Sherrod,1118,20,5,10
643,Blackjack Mulligan,5664,415,266,595
644,Blake Krikorian,2008,43,14,11
645,Blanche Hartman,3648,75,50,22
646,Blas Avena,1867,137,61,38
647,Bloeme Evers-Emden,5932,75,29,44
648,Blowfly (musician),3926,279,168,122
649,Bo Nat Khann Mway,967,55,24,17
650,Bob Adelman,2121,61,31,12
651,"Bob Armstrong (basketball, born 1933)",315,41,29,9
652,Bob Arnott,741,13,8,12
653,Bob Bennett (politician),10058,567,330,210
654,Bob Bissonnette,1531,52,6,4
655,Bob Brown (basketball),280,28,17,17
656,Bob Bryant (politician),713,25,12,9
657,Bob Charles (politician),880,57,39,36
658,Bob Dailey,2303,72,48,47
659,Bob Elliott (comedian),3461,166,100,61
660,Bob Ellis,5491,263,130,143
661,Bob Halverson,797,40,27,70
662,Bob Harkey,486,30,25,63
663,Bob Harrison (American football),518,37,29,101
664,Bob Holman (academic),1370,36,8,10
665,Bob Kiley,5706,116,80,41
666,Bob Oatley,3586,58,19,19
667,Bob Pelkington,384,22,12,64
668,Bob Rumball,1580,28,17,7
669,Bob Skelton (jockey),1061,52,30,16
670,Bob Spicer,2594,16,12,11
671,Bob Tizard,3786,109,48,114
