name
Philip Bialowitz
Philip J. Rock
Philip Kives
Philip Majerus
Philippe Beaussant
Philippe Roberts-Jones
Phoebus Dhrymes
Phonsie O'Brien
Phyllis Curtin
Phyllis Harmon
Pia Bech Mathiesen
Pia Pera
Pierce Lively
Piero Buscaroli
Piero Leddi
Pierre Aubert
Pierre Boulez
Pierre DesRuisseaux
Pierre Fauchon
Pierre Lalonde
Piet de Jong
Piet Steenkamp
Pinuccio Sciola
Pirro Cuniberti
Poornima Arvind Pakvasa
Pradeep Shakthi
Pramukh Swami Maharaj
Pran Kurup
Pranlal Kharsani
Pratyusha Banerjee
Prince Alexander of Yugoslavia (1924–2016)
Prince Buster
Prince Johann Georg of Hohenzollern
Prince Marco of Hohenlohe-Langenburg
Prince Mfanasibili of Swaziland
Proloy Saha
Promode Mankin
Proverb Jacobs
Pulu Poumele
Pyotr Devyatkin
Qahhor Mahkamov
Qandeel Baloch
Qi Benyu
Qian Min
Qiao Renliang
Quan Minyu
Quentin Young
R. Clayton McWhorter
R. G. Jadhav
R. Heiner Schirmer
R. Tom Zuidema
Rab Stewart
Rabbit Kekai
Radu Beligan
Radu Mareș
Rafael Iriondo
Rafael Moreno Valle
Rafael Squirru
Rafiq Azad
Raghu Nandan Mandal
Raghunath Patnaik
Ragnar Hvidsten
Raimundo Ongaro
Rajesh Nandini Singh
Rajesh Pillai
Rajesh Vivek
Ralph Baruch
Ralph C. Johnson
Ralph Hauenstein
Ralph Ketner
Ralph S. Larsen
Ralph Seitsinger
Ralph Stanley
Ralph Stewart (American football)
Ralph V. Whitworth
Ramblin' Lou Schriver
Ramchandra Chintaman Dhere
Ramón Castro Ruz
Ramón Palomares
Randhir Singh (academic)
Randolph George
Randolph Vigne
Randy Duncan
Randy Jones (drummer)
Ranginui Walker
Rangy Nanan
Ranjan Baindoor
Raphael Cheenath
Raphael Hostey
Raúl Feliciano
Raúl Cárdenas
Raúl Sánchez (Chilean footballer)
Ravi Kanojia
Ray Bell
Ray Colcord
Ray Griff
Ray Moreton
Ray Pointer
Ray Salazar
Ray Spencer
Ray Thornton
Ray Tomlinson
Ray West
Raymond Bateman
Raymond Conway Benjamin
Raymond Daveluy
Raymond Laborde
Raymond Menmuir
Raymond Rock
Raymond W. Lessard
Raymonde Tillon
Razak Khan
Rebecca Masika Katsuva
Red Parker
Red Simpson
Redding Pitt
Reese Griffiths
Reg Grundy
Reg Matthewson
Reginaldo Araújo
Régis Barailla
Reid Scott
Reidar Kvaal
Reinhard Selten
Reinhold Remmert
Réjean Lafrenière
Remigio Molina
Remo Belli
Renato Corona
René Angélil
René Bonino
René Hausman
René Landry
René Marsiglia
Renee Valente
Renuka Sinha
Ret Turner
Retta Ward
Rex Fell
Rex Hughes
Rex Morgan (basketball)
Rex Patterson
Rex Pickering
Rey Caney
Reza Ahadi
Rhoda Blumberg
Ria Vedder-Wubben
Rian Sukmawan
Ricardo Larraín
Ricardo Obregón Cano
Ricardo Torres Origel
Riccardo Garrone
Ricci Martin
Rich Olive
Richard Beeman
Richard Bishop (gridiron football)
Richard Bradford (actor)
Richard Budge
Richard Burke (politician)
Richard Davalos
Richard Davis (astronomer)
Richard Fagan
Richard Fowler (naturalist)
Richard Gilpin (priest)
Richard Grant Hiskey
Richard Grayson (composer)
Richard Horner Thompson
Richard Kekuni Blaisdell
Richard Klinkhamer
Richard Levins
Richard Libertini
Richard Lyons (musician)
Richard Marcotte
Richard Neville (writer)
Richard P. Von Herzen
Richard Ransom
Richard S. Kem
Richard Selzer
Richard Seminack
Richard Smith (artist)
Richard Thompson
Richard Unis
Richard Wackar
Richard Whittington-Egan
Richie Dunn
Richie Giachetti
Rick Bartow
Rick MacLeish
Rick Speare
Ricky Tosso
Rik Wilson
Riki Sorsa
Riley Martin
Rino Salviati
Rita Gam
Rita Renoir
Ritva Vepsä
Rob Wasserman
Robbie Brennan
Robert Abajyan
Robert Balser
Robert Banks Stewart
Robert Beiner (Sports Producer)
Robert Black (serial killer)
Robert Burren Morgan
Robert C. Mathis
Robert C. T. Lee
Robert Carrickford
Robert Christophe
Robert Coates (politician)
Robert Courtney (Paralympian)
Robert D. Acland
Robert D. Timm
Robert Darène
Robert Del Tufo
Robert Després
Robert Dolan (marine geologist)
Robert E. Cooper Sr.
Robert Eugene Allen
Robert F. Dorr
Robert Fano
Robert Frederick Froehlke
Bobby Freeman (politician)
"Robert Goff, Baron Goff of Chieveley"
Robert Goossens
Robert Guinan
Robert H. B. Baldwin
Robert H. Scott
Robert Horton (actor)
Robert J. Healey
Robert L. Genillard
Robert Lorick
Robert M. Carter
Robert M. Cundick
Robert M. Sayre
Robert Mabro
Robert MacCrate
Robert Marie Gay
Robert McNeill Alexander
Robert Naegele
Robert Nye
Robert O'Hearn
Robert Palladino
Robert Pickus
Robert Ramsay (baseball)
Robert Redbird
Robert Rosencrans
Robert Sassone
Robert Squires
Robert Stigwood
Robert Sussman
Robert T. Paine
Robert Timberg
Robert Tuggle
Robert W. Cone
Robert W. Lundeen
Robert Walker (USN)
Robert Weinberg (author)
Roberto Albanese
Roberto Lovera
Roberto Perfumo
Robert-Ralph Carmichael
Roberts Bishop Owen
Robin Chandler Duke
Robin Fletcher
Robin Ghosh
Robin Hardy (film director)
Robyn Sisman
Rocco Sollecito
Rod Daniel
Rod Reyes
Rod Zimmer
"Rodney Leach, Baron Leach of Fairford"
Rodolfo Camacho
Rodolfo Illanes
Rodrigo Espíndola
Roger Agnelli
Roger Chanoine
"Roger Chorley, 2nd Baron Chorley"
Roger Cicero
Roger Dumas
Roger Ekins
Roger Enrico
Roger Fletcher (mathematician)
Roger Godement
Roger Hickman
Roger Khawam
Roger Millward
Roger Willemsen
Roger Y. Tsien
Rokusuke Ei
Roland Prince
Rolf Schweizer
Rollin Dart
Roly Bain
Romaldo Giurgola
Romalı Perihan
Roman Gribbs
Roman Ivanychuk
Roman Romanchuk (boxer)
Romesh Chandra
Rómulo Macció
Ron Allbright
Ron Bonham
Ron Brace
Ron Collins (curler)
Ron Henry
Ron Jacobs (broadcaster)
Ron Lester
Ron Mason
Ron Southern
Ron Stillwell
Ron Theobald
Ron Vander Kelen
Ron Wicks
Ronald C. Davidson
Ronald Greenwald
Ronald Mulkearns
Ronald W. Walker
Rondon Pacheco
Ronit Elkabetz
Ronnie Blackman
Ronnie Claire Edwards
Ronnie Cope
Ronnie Corbett
Rooney L. Bowen
Rosanna Huffman
Rosaria Conte
Rosario Ferré
Roscoe Brown
Rose Chibambo
Rose Mofford
Rose Pak
Rose Warfman
Rosemary Hinkfuss
Ross Hannaford
Ross Jennings
Rostislav Yankovsky
Rovshan Janiyev
Rowley Habib
Roy Harris (folk singer)
Roy Señeres
Roy Summersby
Royal Parker
Royal Torrence
Royston Nash
Rubén Aguirre
Rubén Héctor di Monte
Rubén Mendoza Ayala
Rubén Quevedo
Ruby Wilson
Ruby Winters
Rudi Altig
Rudi Lüttge
Rudolf E. Kálmán
Rudolf Fischer
Rudolf Haag
Rudolf Sarközi
Rudolf Wessely
Rudolph Chimelli
Rudolph T. Randa
Rudra Madhab Ray
Rudy Bukich
Rudy Migay
Rupert Neudeck
Rūsiņš Mārtiņš Freivalds
Russell Coughlin
Russell Dove
Ruth Gilbert (poet)
Ruth Hubbard
Ruth Inge Hardison
Ruth Leuwerik
Ruth Rehmann
Ruth Terry
Ruth Westbrook
Ryan Jimmo
Ryo Fukui
Ryszard Bender
Ryuichi Doi
S. F. C. Milsom
S. H. Kapadia
S. H. Raza
S. P. Sarguna Pandian
