name
"John Vane, 11th Baron Barnard"
John W. Cahn
John W. Drummond
John Waite
"John Walton, Baron Walton of Detchant"
John Warr
John Watts (British politician)
John Webster (British theologian)
John William Ashe
John William Vessey Jr.
John Willison Green
John Wittenborn
John Young (baseball)
Johnny Bach
Johnny Barnes
Johnny Brooks
Johnny Duncan (actor)
Johnny Joannou
Johnny Jordan
Johnny Lattner
Johnny Miller (footballer)
Johnny Rebel (singer)
Johnny Sea
Jok Church
Jon Bunch
Jon English
Jon Polito
Jon Roehlk
Jon Rollason
Jona Goldrich
Jonathan Borwein
Jonathan Cainer
Jonathan D. Krane
Jonathan Riley-Smith
Joni Madraiwiwi
Jordan Parsons
Jordi Carbonell
Jorge García Isaza
Jorge Lepra
Jorge Rubinetti
Jorma Salmi
Jory Prum
José Artetxe
José Barluenga
José Becerra
José Carlos Avellar
José Fernández (pitcher)
José Luis Romo Martín
José María Rivas
José Parra Martínez
José Ramón Herrero Merediz
José Roberto Marques
Josef Anton Riedl
Josef Rösch
Josef Simon
Josefin Nilsson
Joseph A. Palaia
Joseph Antic
Joseph Atsumi Misue
Joseph Chilton Pearce
Joseph Harmatz
Joseph Hone
Joseph Keller
Joseph Kumuondala Mbimba
Joseph Mercieca
Joseph Michel (politician)
Joseph Ritz
Joseph Rwegasira
Joseph Sitruk
Joseph Toppo
Joseph Verner Reed Jr.
Joshua Wanume Kibedi
Josip Bukal
Josip Friščić
Jouko Turkka
Jovito Salonga
Joy Browne
Joy Hardon
Joy Viado
Joyce Carol Thomas
Jože Pogačnik
József Kasza
József Tempfli
József Verebes
JT McNamara
Juan Bell
Juan Carlos Mesa
Juan Conway McNabb
Juan Gabriel
Juan Habichuela
Juan Manuel Ley
Juan Mujica
Juan Pedro de Miguel
Judes Bicaba
Judith Jacobs
Judith Kaye
Judy Canty (long jumper)
Judy-Joy Davies
Jules Browde
Jules Le Lievre
Jules Schelvis
Julia Meade
Julie Plawecki
Julien Hoferlin
Juliette Benzoni
Julio César Chalar
Julio García Espinosa
Julio Lacarte Muró
Julio Xavier Labayen
Julius Adams
Julius Freeman
Julius La Rosa
Jun Shiraoka
June Peppas
Jung Byung-tak
Jure Radić (engineer)
Jürgen von Beckerath
Juris Ekmanis
Jusztin Nándor Takács
Jutta Limbach
Jyothi Lakshmi
K. G. Subramanyan
K. Madhavan
K. P. Noorudeen
K. S. Paripoornan
K. V. Krishna Rao
Kacey Jones
Kai G. Henriksen
Kalabhavan Mani
Kalanidhi Narayanan
Kalervo Rauhala
Kalevi Lehtovirta
Kalidas Shrestha
Kalikho Pul
Kalle Havulinna
Kalpana (Malayalam actress)
Kalthoum Bornaz
Kamer Genç
Kaname Harada
Kang Sok-ju
Kang Young-hoon
Kantilal Desai
Kao Ching-yuen
Kapil Seth
Karel Pečko
Karel Růžička
Karen Carroll
Karen Johnson Boyd
Karen Karnes
Kari Hautala
Karina Huff
Karl Bögelein
Karl Butzer
Karl Dallas
Karl Dedecius
Karl Dietrich Bracher
Karl E. Case
Karl Eigen
Karl Gunnar Persson
Karl Maramorosch
Karl Schlechta
Karl Stirner
Karl-Heinz von Hassel
Karl-Robert Ameln
Karol Machata
Karsten Isachsen
Kasam Bapu Tirmizi
Kashif (musician)
Kashmiri Lal Zakir
Kate Granger
Katharina Focke
Katharine Blodgett Gebbie
Katherine Dunn
Katie May
Kavalam Narayana Panicker
Kazimieras Uoka
Kazimierz Barburski
Kazuko Hirabayashi
Keith Blunt
Keith Gemmell
Keith Jeffery
Keith L. Brown
Keith Lawrence (RAF officer)
Keith Ollerenshaw
Keith Smith (cricketer)
Keith Thiele
Keith Vickerman
Kelly Mader
